,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,HASI,"HA Sustainable Infrastructure Capital, Inc.",3.34B,-0.68%,527971,139.08M
83,NMRK,"Newmark Group, Inc.",3.29B,-1.60%,17583,2.61B
84,CDP,COPT Defense Properties,3.21B,-0.90%,595630,753.66M
85,OUT,OUTFRONT Media Inc.,3.09B,-0.86%,467067,1.84B
86,HIW,"Highwoods Properties, Inc.",3.06B,-3.55%,572010,825.86M
87,BNL,"Broadstone Net Lease, Inc.",3.00B,-1.26%,209873,424.67M
88,NHI,"National Health Investors, Inc.",2.99B,-0.44%,30991,329.85M
89,CWK,Cushman & Wakefield plc,2.93B,-2.41%,353490,9.37B
90,AKR,Acadia Realty Trust,2.92B,-1.14%,469380,367.40M
91,MPW,"Medical Properties Trust, Inc.",2.85B,0.11%,1964221,660.17M
92,ABR,"Arbor Realty Trust, Inc.",2.77B,-1.70%,860716,650.35M
93,UE,Urban Edge Properties,2.74B,0.14%,321520,444.97M
94,JOE,The St. Joe Company,2.68B,-1.85%,45590,385.14M
95,FCPT,"Four Corners Property Trust, Inc.",2.68B,-0.89%,72785,264.88M
96,PK,Park Hotels & Resorts Inc.,2.61B,-2.24%,878473,2.66B
97,CURB,Curbline Properties Corp.,2.57B,-2.26%,117993,120.88M
98,ESBA,"Empire State Realty OP, L.P.",2.55B,-,2130,758.43M
99,ESRT,"Empire State Realty Trust, Inc.",2.52B,-1.60%,171039,758.43M
100,LXP,LXP Industrial Trust,2.44B,-1.83%,436511,340.56M
101,ROIC,Retail Opportunity Investments Corp.,2.36B,0.06%,336641,336.79M
102,IVT,InvenTrust Properties Corp.,2.36B,-0.41%,194810,273.97M
103,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.24B,-0.08%,16584,243.24M
104,SHO,"Sunstone Hotel Investors, Inc.",2.23B,-1.47%,198133,910.26M
105,CCS,"Century Communities, Inc.",2.20B,-3.46%,97882,4.40B
106,IIPR,"Innovative Industrial Properties, Inc.",2.09B,-1.01%,54986,310.93M
107,DRH,DiamondRock Hospitality Company,1.76B,-1.91%,151137,1.11B
108,AAT,"American Assets Trust, Inc.",1.71B,-1.82%,46291,457.86M
109,GTY,Getty Realty Corp.,1.65B,-1.76%,181978,198.02M
110,GNL,"Global Net Lease, Inc.",1.63B,-1.60%,502989,812.62M
111,EXPI,"eXp World Holdings, Inc.",1.61B,-2.55%,152949,4.46B
112,VRE,"Veris Residential, Inc.",1.60B,-1.44%,45152,293.37M
113,LTC,"LTC Properties, Inc.",1.53B,-0.66%,67710,198.71M
114,XHR,"Xenia Hotels & Resorts, Inc.",1.47B,-1.63%,100334,1.03B
115,LADR,Ladder Capital Corp,1.46B,-2.38%,167737,271.18M
116,JBGS,JBG SMITH Properties,1.46B,-1.39%,32656,567.03M
117,PEB,Pebblebrook Hotel Trust,1.46B,-2.62%,837568,1.45B
118,RLJ,RLJ Lodging Trust,1.44B,-1.61%,210060,1.36B
119,UMH,"UMH Properties, Inc.",1.43B,-1.13%,53169,235.20M
120,MMI,"Marcus & Millichap, Inc.",1.42B,-2.80%,21713,622.23M
121,SILA,"Sila Realty Trust, Inc.",1.40B,0.85%,182663,186.23M
122,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.38B,0.45%,363445,147.89M
123,TWO,Two Harbors Investment Corp.,1.36B,-0.94%,226446,593.49M
124,AIV,Apartment Investment and Management Company,1.36B,-0.51%,241892,204.74M
125,ELME,Elme Communities,1.35B,-1.87%,92054,239.52M
126,UNIT,Uniti Group Inc.,1.31B,-2.61%,413138,1.16B
127,ALEX,"Alexander & Baldwin, Inc.",1.29B,-1.03%,2255,230.95M
128,BFS,"Saul Centers, Inc.",1.25B,-0.49%,6571,267.61M
129,DEA,"Easterly Government Properties, Inc.",1.25B,-1.79%,393847,302.12M
130,SAFE,Safehold Inc.,1.20B,-4.11%,80334,388.66M
131,KW,"Kennedy-Wilson Holdings, Inc.",1.20B,-2.57%,113504,483.20M
132,PMT,PennyMac Mortgage Investment Trust,1.18B,-0.92%,180541,504.60M
133,SDHC,Smith Douglas Homes Corp.,1.17B,-3.10%,54787,905.30M
134,EFC,Ellington Financial Inc.,1.15B,-0.90%,202457,290.29M
135,NTST,NETSTREIT Corp.,1.15B,-1.75%,129477,155.55M
136,FOR,Forestar Group Inc.,1.14B,-2.00%,57474,1.45B
137,DX,"Dynex Capital, Inc.",1.12B,-0.38%,734009,150.40M
138,RC,Ready Capital Corporation,1.11B,-1.57%,528139,140.36M
139,PGRE,"Paramount Group, Inc.",1.11B,-1.57%,208544,553.64M
140,CIM,Chimera Investment Corporation,1.10B,-9.74%,1014918,277.89M
141,RDFN,Redfin Corporation,1.09B,11.16%,6420378,1.02B
142,MFA,"MFA Financial, Inc.",1.07B,-1.81%,564167,366.19M
143,CSR,Centerspace,1.07B,0.06%,92756,258.64M
144,ARR,"ARMOUR Residential REIT, Inc.",1.06B,-0.47%,1444793,185.09M
145,FBRT,"Franklin BSP Realty Trust, Inc.",1.05B,-0.73%,87303,169.68M
146,IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1.05B,5.36%,77872,343.15M
147,OPEN,Opendoor Technologies Inc.,1.04B,5.43%,24838434,4.94B
148,NXRT,"NexPoint Residential Trust, Inc.",1.02B,-1.33%,52156,264.97M
149,REAX,The Real Brokerage Inc.,1.02B,-1.93%,414367,1.10B
150,ALX,"Alexander's, Inc.",1.00B,-0.58%,3604,226.37M
151,PDM,"Piedmont Office Realty Trust, Inc.",983.94M,-2.39%,139041,572.42M
152,AHH,"Armada Hoffler Properties, Inc.",965.46M,-1.30%,151486,756.90M
153,CBL,"CBL & Associates Properties, Inc.",945.09M,-0.26%,29931,523.58M
154,FPH,"Five Point Holdings, LLC",879.72M,0.66%,230177,237.93M
155,RWT,"Redwood Trust, Inc.",855.41M,-2.34%,206550,268.36M
156,BDN,Brandywine Realty Trust,841.66M,-3.19%,521296,313.93M
157,INN,"Summit Hotel Properties, Inc.",809.59M,-1.81%,192041,736.29M
158,SITC,SITE Centers Corp.,776.75M,-1.56%,148745,451.68M
159,KREF,KKR Real Estate Finance Trust Inc.,750.70M,-2.08%,159416,100.62M
160,PLYM,"Plymouth Industrial REIT, Inc.",747.15M,-1.68%,61048,201.57M
161,BRSP,"BrightSpire Capital, Inc.",737.91M,-1.39%,247026,378.10M
162,GOOD,Gladstone Commercial Corporation,705.54M,-0.83%,70380,147.92M
163,ORC,"Orchid Island Capital, Inc.",703.56M,-0.66%,556036,54.41M
164,TRTX,"TPG RE Finance Trust, Inc.",694.36M,-0.35%,193466,133.09M
165,WSR,Whitestone REIT,693.52M,-1.17%,28693,149.45M
166,DHC,Diversified Healthcare Trust,652.65M,0.19%,642996,1.48B
167,STRW,"Strawberry Fields REIT, Inc.",628.07M,-1.22%,8407,112.05M
168,CTO,"CTO Realty Growth, Inc.",607.62M,0.37%,53294,118.66M
169,RMR,The RMR Group Inc.,588.81M,-1.34%,35866,199.94M
170,FRPH,"FRP Holdings, Inc.",586.64M,-1.92%,6028,31.41M
171,FPI,Farmland Partners Inc.,571.70M,-0.55%,57816,58.47M
172,CHCT,Community Healthcare Trust Incorporated,555.50M,-1.34%,66191,115.61M
173,OLP,"One Liberty Properties, Inc.",547.08M,-1.58%,6860,89.14M
174,NYMT,"New York Mortgage Trust, Inc.",545.74M,-2.67%,279744,252.54M
175,GMRE,Global Medical REIT Inc.,539.61M,-1.21%,52321,136.59M
176,UHT,Universal Health Realty Income Trust,533.90M,-1.03%,923,99.90M
177,IVR,Invesco Mortgage Capital Inc.,509.53M,-1.82%,678484,102.89M
178,FVR,"FrontView REIT, Inc.",491.49M,-1.06%,3916,58.66M
179,NLOP,Net Lease Office Properties,455.16M,-1.11%,29052,160.91M
180,SVC,Service Properties Trust,445.78M,-4.46%,777445,1.88B
181,CMTG,"Claros Mortgage Trust, Inc.",437.60M,-0.62%,416946,50.58M
182,HPP,"Hudson Pacific Properties, Inc.",424.76M,-4.40%,470203,847.71M
183,CLDT,Chatham Lodging Trust,418.82M,-2.96%,69707,313.27M
184,MLP,"Maui Land & Pineapple Company, Inc.",404.90M,0.36%,1991,12.20M
185,LAND,Gladstone Land Corporation,404.18M,1.73%,536852,88.45M
186,HOUS,Anywhere Real Estate Inc.,397.76M,-0.97%,263260,5.58B
187,PKST,Peakstone Realty Trust,379.83M,-2.70%,92616,233.20M
188,PSTL,"Postal Realty Trust, Inc.",379.34M,-1.47%,30603,72.01M
189,BRT,BRT Apartments Corp.,348.51M,-0.62%,298,96.74M
190,NREF,"NexPoint Real Estate Finance, Inc.",344.69M,-1.98%,10745,73.16M
191,SEG,Seaport Entertainment Group Inc.,321.25M,-0.61%,26705,111.49M
192,REFI,"Chicago Atlantic Real Estate Finance, Inc.",311.01M,-0.31%,36163,56.86M
193,RMAX,"RE/MAX Holdings, Inc.",304.89M,-2.32%,23197,311.82M
194,LPA,Logistic Properties of the Americas,299.87M,-0.53%,5644,44.31M
195,ACRE,Ares Commercial Real Estate Corporation,288.69M,-12.99%,1551100,87.80M
196,LSEA,Landsea Homes Corporation,287.72M,-3.53%,75276,1.46B
197,NEN,New England Realty Associates Limited Partnership,276.74M,-4.77%,204,81.17M
198,ILPT,Industrial Logistics Properties Trust,262.92M,-1.61%,67030,440.70M
199,PINE,"Alpine Income Property Trust, Inc.",262.38M,3.54%,64366,52.23M
200,AOMR,"Angel Oak Mortgage REIT, Inc.",250.63M,-0.65%,44377,94.44M
201,OZ,"Belpointe PREP, LLC",239.78M,0.77%,2408,2.09M
202,TCI,"Transcontinental Realty Investors, Inc.",231.27M,-1.04%,1368,49.82M
203,ONL,Orion Office REIT Inc.,224.07M,-1.35%,61802,169.64M
204,ARL,"American Realty Investors, Inc.",217.65M,-0.11%,7437,51.03M
205,MITT,"AG Mortgage Investment Trust, Inc.",206.42M,-1.07%,125562,80.74M
206,CIO,"City Office REIT, Inc.",200.77M,-0.99%,58998,173.53M
207,FSP,Franklin Street Properties Corp.,198.85M,4.92%,245863,120.11M
208,SRG,Seritage Growth Properties,196.44M,-1.38%,56510,56.36M
209,SEVN,Seven Hills Realty Trust,196.12M,0.77%,577,30.40M
210,BHR,Braemar Hotels & Resorts Inc.,189.46M,-1.15%,38580,732.34M
211,AFCG,Advanced Flower Capital Inc.,188.90M,-0.23%,26006,43.16M
212,EQC,Equity Commonwealth,187.57M,-0.29%,2808,58.43M
213,DOUG,Douglas Elliman Inc.,179.23M,-2.58%,377609,966.44M
214,CLPR,Clipper Realty Inc.,166.40M,-0.88%,23501,145.60M
215,STRS,Stratus Properties Inc.,162.29M,1.11%,1464,48.16M
216,MDV,"Modiv Industrial, Inc.",158.52M,0.41%,7703,47.42M
217,AXR,AMREP Corporation,157.51M,0.10%,105,63.22M
218,GPMT,Granite Point Mortgage Trust Inc.,151.12M,-1.47%,1797,-140.09M
