,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,TDY,Teledyne Technologies Incorporated,24.02B,0.20%,179123,5.67B
85,CHKP,Check Point Software Technologies Ltd.,23.87B,2.23%,1239765,2.57B
86,TOST,"Toast, Inc.",23.47B,5.30%,5170281,4.66B
87,PTC,PTC Inc.,22.84B,-0.69%,1293005,2.31B
88,PSTG,"Pure Storage, Inc.",22.82B,2.36%,1998855,3.08B
89,TWLO,Twilio Inc.,22.56B,0.82%,2256517,4.34B
90,WDC,Western Digital Corporation,22.51B,1.43%,4720415,15.60B
91,GFS,GlobalFoundries Inc.,22.43B,0.07%,1943699,6.77B
92,ON,ON Semiconductor Corporation,22.02B,2.25%,6006644,7.38B
93,ASX,"ASE Technology Holding Co., Ltd.",21.35B,2.13%,10096752,18.69B
94,VRSN,"VeriSign, Inc.",21.23B,1.10%,611632,1.54B
95,MDB,"MongoDB, Inc.",21.00B,2.20%,1356952,1.92B
96,SSNC,"SS&C Technologies Holdings, Inc.",20.27B,0.64%,1499748,5.76B
97,STX,Seagate Technology Holdings plc,20.20B,0.97%,2623394,8.04B
98,ZBRA,Zebra Technologies Corporation,20.02B,1.19%,401297,4.66B
99,STM,STMicroelectronics N.V.,19.81B,-0.31%,6520107,13.27B
100,AFRM,"Affirm Holdings, Inc.",19.72B,5.49%,6275340,2.52B
101,DOCU,"DocuSign, Inc.",19.57B,0.44%,1535212,2.91B
102,NTNX,"Nutanix, Inc.",19.18B,0.92%,1656507,2.23B
103,LDOS,"Leidos Holdings, Inc.",18.85B,-0.47%,1047602,16.28B
104,CYBR,CyberArk Software Ltd.,18.75B,1.10%,392876,909.46M
105,KSPI,Joint Stock Company Kaspi.kz,18.56B,0.18%,328489,4.93B
106,TRMB,Trimble Inc.,18.45B,0.97%,1034645,3.63B
107,SMCI,"Super Micro Computer, Inc.",18.44B,7.99%,80901917,14.94B
108,GRAB,Grab Holdings Limited,18.36B,-10.76%,62222176,2.69B
109,TER,"Teradyne, Inc.",18.34B,0.84%,2819407,2.82B
110,GWRE,"Guidewire Software, Inc.",18.23B,0.63%,707909,1.04B
111,DT,"Dynatrace, Inc.",18.09B,1.91%,3093968,1.63B
112,JBL,Jabil Inc.,17.92B,1.11%,824173,27.49B
113,FFIV,"F5, Inc.",17.60B,1.18%,461588,2.89B
114,FSLR,"First Solar, Inc.",17.38B,-2.32%,2163217,3.85B
115,DUOL,"Duolingo, Inc.",17.24B,1.51%,732707,689.46M
116,GEN,Gen Digital Inc.,16.95B,1.74%,3015523,3.90B
117,ALAB,"Astera Labs, Inc.",16.90B,4.76%,3246686,305.71M
118,AZPN,"Aspen Technology, Inc.",16.79B,0.48%,636116,1.14B
119,CLS,Celestica Inc.,16.75B,8.86%,7641901,9.65B
120,OKTA,"Okta, Inc.",16.70B,3.22%,2381634,2.53B
121,FLEX,Flex Ltd.,16.54B,3.01%,3520648,25.58B
122,ENTG,"Entegris, Inc.",15.69B,2.68%,2673684,3.20B
123,UMC,United Microelectronics Corporation,15.34B,0.50%,9643245,7.09B
124,AKAM,"Akamai Technologies, Inc.",15.16B,1.02%,1216802,3.97B
125,LOGI,Logitech International S.A.,14.95B,2.04%,822980,4.56B
126,BSY,"Bentley Systems, Incorporated",14.80B,0.62%,657252,1.31B
127,EPAM,"EPAM Systems, Inc.",14.59B,0.90%,399613,4.64B
128,RBRK,"Rubrik, Inc.",14.00B,2.04%,1096235,803.46M
129,COHR,Coherent Corp.,13.94B,2.69%,6955620,5.31B
130,SWKS,"Skyworks Solutions, Inc.",13.93B,0.82%,4071857,4.05B
131,CRDO,Credo Technology Group Holding Ltd,13.31B,4.38%,4449586,245.59M
132,KVYO,"Klaviyo, Inc.",13.11B,1.25%,636121,868.92M
133,CIEN,Ciena Corporation,13.09B,5.23%,2350724,4.01B
134,MNDY,monday.com Ltd.,12.94B,2.09%,676691,906.59M
135,JKHY,"Jack Henry & Associates, Inc.",12.61B,-0.75%,1377495,2.27B
