,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,MUR,Murphy Oil Corporation,3.91B,1.98%,4089072,3.02B
86,CRGY,Crescent Energy Company,3.75B,0.21%,2060772,2.71B
87,NXE,NexGen Energy Ltd.,3.71B,1.09%,5490069,-
88,NOG,"Northern Oil and Gas, Inc.",3.49B,-1.26%,751825,2.00B
89,ARLP,"Alliance Resource Partners, L.P.",3.41B,-1.34%,565680,2.45B
90,USAC,"USA Compression Partners, LP",3.37B,1.48%,524980,929.61M
91,PTEN,"Patterson-UTI Energy, Inc.",3.36B,2.86%,11250603,5.38B
92,VAL,Valaris Limited,3.26B,-1.27%,827869,2.26B
93,PBF,PBF Energy Inc.,3.23B,-0.60%,1158700,34.90B
94,EE,"Excelerate Energy, Inc.",3.22B,1.10%,167761,816.93M
95,GPOR,Gulfport Energy Corporation,3.20B,-0.61%,122892,886.64M
96,VRN,Veren Inc.,3.16B,0.98%,12194901,2.85B
97,RIG,Transocean Ltd.,3.14B,-4.27%,26032329,3.31B
98,BSM,"Black Stone Minerals, L.P.",3.11B,0.95%,252088,457.21M
99,UGP,Ultrapar Participações S.A.,3.04B,-2.46%,641674,24.15B
100,STR,Sitio Royalties Corp.,3.01B,-0.76%,354111,618.67M
101,UEC,Uranium Energy Corp.,2.94B,2.36%,4137233,17.20M
102,TDW,Tidewater Inc.,2.81B,-0.24%,492895,1.30B
103,LBRT,Liberty Energy Inc.,2.79B,-3.08%,2788931,4.32B
104,HP,"Helmerich & Payne, Inc.",2.66B,-3.43%,2623620,2.76B
105,AESI,Atlas Energy Solutions Inc.,2.56B,-3.27%,2126033,925.76M
106,FLOC,Flowco Holdings Inc.,2.52B,0.56%,174085,424.75M
107,OII,"Oceaneering International, Inc.",2.50B,0.16%,376327,2.60B
108,CNR,"Core Natural Resources, Inc.",2.45B,-2.67%,680791,2.24B
109,CSAN,Cosan S.A.,2.31B,-7.81%,1364775,7.66B
110,STNG,Scorpio Tankers Inc.,2.23B,-3.19%,743352,1.38B
111,DKL,"Delek Logistics Partners, LP",2.16B,-1.01%,124162,984.92M
112,SDRL,Seadrill Limited,2.15B,-5.04%,800630,1.47B
113,CMBT,Cmb.Tech NV,2.13B,-1.39%,45426,982.85M
114,BKV,BKV Corporation,2.03B,0.38%,212693,624.58M
115,NEXT,NextDecade Corporation,2.02B,-1.65%,3067510,-
116,TRMD,TORM plc,1.99B,-0.69%,998652,1.64B
117,GLP,Global Partners LP,1.97B,0.43%,96763,17.39B
118,BTE,Baytex Energy Corp.,1.96B,5.58%,30780102,2.48B
119,SOC,Sable Offshore Corp.,1.96B,-3.56%,960563,-
120,BTU,Peabody Energy Corporation,1.94B,-2.02%,4824686,4.24B
121,INSW,"International Seaways, Inc.",1.94B,-0.78%,507268,1.01B
122,CVI,"CVR Energy, Inc.",1.84B,-0.27%,516779,7.87B
123,LEU,Centrus Energy Corp.,1.83B,33.13%,4263144,442.00M
124,DHT,"DHT Holdings, Inc.",1.82B,-1.22%,1535354,571.77M
125,HPK,"HighPeak Energy, Inc.",1.75B,0.95%,238683,1.14B
126,SEI,"Solaris Energy Infrastructure, Inc.",1.74B,-0.83%,662059,280.14M
127,MNR,Mach Natural Resources LP,1.66B,1.39%,679374,873.77M
128,TALO,Talos Energy Inc.,1.66B,-0.54%,1065934,1.87B
129,WKC,World Kinect Corporation,1.64B,-0.88%,232489,44.41B
130,DNN,Denison Mines Corp.,1.61B,1.12%,49701959,2.92M
131,XPRO,Expro Group Holdings N.V.,1.54B,2.02%,522964,1.68B
132,WTTR,"Select Water Solutions, Inc.",1.52B,-0.23%,767109,1.48B
133,DMLP,"Dorchester Minerals, L.P.",1.48B,-0.16%,97714,166.45M
134,KRP,"Kimbell Royalty Partners, LP",1.47B,0.26%,501021,325.01M
135,TNK,Teekay Tankers Ltd.,1.43B,-1.53%,251729,1.19B
136,KOS,Kosmos Energy Ltd.,1.42B,1.00%,6295700,1.79B
137,VET,Vermilion Energy Inc.,1.40B,0.33%,680171,1.34B
138,CLMT,"Calumet, Inc.",1.39B,-1.82%,730072,4.22B
139,FLNG,FLEX LNG Ltd.,1.35B,-0.60%,421435,356.35M
140,GEL,"Genesis Energy, L.P.",1.34B,1.48%,497179,3.01B
141,NRP,Natural Resource Partners L.P.,1.34B,0.81%,16217,256.67M
142,INR,"Infinity Natural Resources, Inc.",1.25B,2.95%,455306,261.67M
143,RES,"RPC, Inc.",1.23B,-2.52%,1251200,1.41B
144,HLX,"Helix Energy Solutions Group, Inc.",1.22B,-0.12%,1003418,1.34B
145,DK,"Delek US Holdings, Inc.",1.17B,-2.01%,1097907,13.87B
