,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,NCLH,Norwegian Cruise Line Holdings Ltd.,12.02B,-3.22%,8121645,9.36B
84,BROS,Dutch Bros Inc.,11.83B,-1.37%,2292551,1.19B
85,TXRH,"Texas Roadhouse, Inc.",11.74B,-0.42%,1189227,5.10B
86,MGA,Magna International Inc.,11.07B,0.55%,1245796,42.66B
87,PAG,"Penske Automotive Group, Inc.",11.05B,-1.51%,174432,30.01B
88,GME,GameStop Corp.,11.05B,-0.69%,3094136,4.33B
89,SCI,Service Corporation International,11.04B,-0.69%,915804,4.15B
90,FND,"Floor & Decor Holdings, Inc.",10.83B,-2.84%,902954,4.40B
91,BIRK,Birkenstock Holding plc,10.44B,-2.27%,1030976,2.01B
92,MGM,MGM Resorts International,10.29B,0.64%,3502047,17.22B
93,HTHT,H World Group Limited,10.21B,3.40%,2388364,3.34B
94,CCK,"Crown Holdings, Inc.",10.18B,-0.45%,854262,11.80B
95,ALSN,"Allison Transmission Holdings, Inc.",10.03B,0.30%,499546,3.20B
96,LAD,"Lithia Motors, Inc.",9.98B,-1.91%,257373,34.69B
97,SKX,"Skechers U.S.A., Inc.",9.97B,-12.39%,10008098,8.97B
98,GLBE,Global-E Online Ltd.,9.93B,-1.57%,745032,675.25M
99,LKQ,LKQ Corporation,9.68B,-0.32%,1601360,14.50B
100,MUSA,Murphy USA Inc.,9.63B,-3.69%,334194,17.91B
101,VFC,V.F. Corporation,9.32B,-3.08%,4495138,10.15B
102,PLNT,"Planet Fitness, Inc.",9.13B,-0.58%,615819,1.05B
103,CHDN,Churchill Downs Incorporated,8.97B,-1.02%,410967,2.67B
104,NIO,NIO Inc.,8.91B,0.71%,37189574,9.00B
105,WING,Wingstop Inc.,8.91B,-0.86%,500576,591.04M
106,VFS,VinFast Auto Ltd.,8.89B,-1.03%,592427,1.52B
107,WYNN,"Wynn Resorts, Limited",8.77B,-0.11%,2230064,7.13B
108,LCID,"Lucid Group, Inc.",8.52B,-2.77%,49231928,730.51M
109,GAP,"The Gap, Inc.",8.48B,-2.38%,4067353,15.24B
110,WH,"Wyndham Hotels & Resorts, Inc.",8.43B,0.77%,1039668,1.38B
111,HAS,"Hasbro, Inc.",8.24B,-1.01%,1029818,4.32B
112,BERY,"Berry Global Group, Inc.",8.09B,-0.07%,952413,12.31B
113,GPK,Graphic Packaging Holding Company,7.94B,-2.04%,2408640,8.81B
114,GIL,Gildan Activewear Inc.,7.86B,-1.44%,346431,3.23B
115,BBWI,"Bath & Body Works, Inc.",7.77B,-4.62%,2424427,7.43B
116,VIPS,Vipshop Holdings Limited,7.69B,-1.77%,4032107,15.66B
117,EAT,"Brinker International, Inc.",7.64B,-5.61%,1431726,4.83B
118,MHK,"Mohawk Industries, Inc.",7.60B,-1.34%,1553182,10.84B
119,CZR,"Caesars Entertainment, Inc.",7.59B,-1.84%,3949744,11.27B
120,AN,"AutoNation, Inc.",7.58B,-1.32%,329253,26.32B
121,DDS,"Dillard's, Inc.",7.53B,0.27%,66285,6.70B
122,LNW,"Light & Wonder, Inc.",7.48B,-0.26%,467901,3.16B
123,RH,RH,7.39B,-4.28%,413107,3.11B
124,LEVI,Levi Strauss & Co.,7.30B,-3.10%,2089698,6.36B
125,ALV,"Autoliv, Inc.",7.26B,-0.61%,686065,10.39B
126,MAT,"Mattel, Inc.",7.24B,0.19%,4066504,5.38B
127,CHH,"Choice Hotels International, Inc.",7.18B,-1.11%,280874,779.01M
128,MNSO,MINISO Group Holding Limited,7.14B,0.83%,646808,2.50B
129,HRB,"H&R Block, Inc.",7.12B,-1.81%,1060659,3.62B
130,BFAM,Bright Horizons Family Solutions Inc.,7.09B,0.01%,312571,2.63B
131,BYD,Boyd Gaming Corporation,6.83B,-1.72%,1664154,3.93B
132,ZK,ZEEKR Intelligent Technology Holding Limited,6.57B,-2.04%,898459,9.91B
133,BWA,BorgWarner Inc.,6.56B,0.83%,3547591,14.09B
134,LTH,"Life Time Group Holdings, Inc.",6.52B,2.14%,1729205,2.52B
135,TMHC,Taylor Morrison Home Corporation,6.38B,-4.54%,985101,7.83B
136,MTN,"Vail Resorts, Inc.",6.28B,-2.03%,343733,2.89B
137,ETSY,"Etsy, Inc.",6.12B,-2.18%,2133217,2.80B
138,GPI,"Group 1 Automotive, Inc.",6.10B,-0.35%,194328,19.93B
139,SKY,"Champion Homes, Inc.",5.95B,-1.84%,519456,2.43B
140,ANF,Abercrombie & Fitch Co.,5.78B,-0.11%,1544562,4.82B
141,ABG,"Asbury Automotive Group, Inc.",5.75B,-3.13%,142541,17.19B
142,SLGN,Silgan Holdings Inc.,5.74B,-0.90%,422981,5.85B
143,GNTX,Gentex Corporation,5.70B,0.84%,2662564,2.31B
144,WHR,Whirlpool Corporation,5.61B,-1.04%,937926,16.61B
145,W,Wayfair Inc.,5.48B,-7.62%,4585639,11.84B
146,CROX,"Crocs, Inc.",5.44B,-2.11%,2068278,4.07B
147,MTH,Meritage Homes Corporation,5.34B,-3.68%,627755,6.40B
148,THO,"THOR Industries, Inc.",5.29B,-1.50%,549235,9.69B
149,REYN,Reynolds Consumer Products Inc.,5.25B,0.60%,803872,3.70B
150,LEA,Lear Corporation,5.22B,1.55%,1057327,23.31B
151,URBN,"Urban Outfitters, Inc.",5.22B,-1.74%,1253914,5.40B
152,MOD,Modine Manufacturing Company,5.19B,0.99%,1623193,2.54B
153,RRR,"Red Rock Resorts, Inc.",5.18B,0.27%,1332189,1.91B
154,IBP,"Installed Building Products, Inc.",5.09B,-4.88%,346661,2.91B
155,SEE,Sealed Air Corporation,4.96B,-1.50%,788260,5.40B
156,FIVE,"Five Below, Inc.",4.95B,-4.12%,1714053,3.82B
157,VVV,Valvoline Inc.,4.92B,-2.22%,2724120,1.66B
158,RUSHA,"Rush Enterprises, Inc.",4.86B,1.25%,512685,7.82B
159,SHAK,Shake Shack Inc.,4.79B,-2.06%,718599,1.21B
160,RUSHB,"Rush Enterprises, Inc.",4.78B,-0.59%,12659,7.82B
161,KTB,"Kontoor Brands, Inc.",4.74B,-2.03%,403859,2.58B
162,SON,Sonoco Products Company,4.61B,-1.57%,459999,6.57B
163,KBH,KB Home,4.58B,-5.30%,1357508,6.93B
164,COLM,Columbia Sportswear Company,4.53B,-0.49%,859833,3.37B
165,FTDR,"Frontdoor, Inc.",4.47B,-1.11%,363850,1.83B
166,FUN,Six Flags Entertainment Corporation,4.41B,-2.78%,1040742,2.39B
167,PVH,PVH Corp.,4.39B,-0.42%,861295,8.77B
168,WRD,WeRide Inc.,4.38B,-1.26%,101940,52.05M
169,BC,Brunswick Corporation,4.34B,0.23%,490682,5.24B
170,BOOT,"Boot Barn Holdings, Inc.",4.28B,-0.94%,432340,1.85B
171,CVCO,"Cavco Industries, Inc.",4.24B,-1.60%,57357,1.93B
172,SGHC,Super Group (SGHC) Limited,4.18B,0.24%,1555928,1.74B
173,HGV,Hilton Grand Vacations Inc.,4.11B,-2.14%,645899,4.24B
174,CARG,"CarGurus, Inc.",4.10B,1.41%,609017,888.97M
175,JWN,"Nordstrom, Inc.",4.00B,-0.33%,1499463,15.11B
176,M,"Macy's, Inc.",3.96B,-2.19%,5031350,23.37B
177,GOLF,Acushnet Holdings Corp.,3.93B,-1.73%,216124,2.42B
178,DORM,"Dorman Products, Inc.",3.87B,-2.02%,156851,1.97B
179,TNL,Travel + Leisure Co.,3.85B,-2.09%,580376,3.83B
180,ATAT,Atour Lifestyle Holdings Limited,3.78B,2.12%,791998,950.76M
181,ACVA,ACV Auctions Inc.,3.55B,0.95%,885950,596.02M
182,ASO,"Academy Sports and Outdoors, Inc.",3.50B,-2.22%,1103204,6.05B
183,HOG,"Harley-Davidson, Inc.",3.41B,0.37%,2573492,5.19B
184,SG,"Sweetgreen, Inc.",3.39B,-3.84%,2705334,668.95M
185,IGT,International Game Technology PLC,3.36B,-0.78%,2450101,4.32B
186,TPH,"Tri Pointe Homes, Inc.",3.31B,-3.26%,598309,4.50B
187,PTON,"Peloton Interactive, Inc.",3.26B,-2.12%,25185631,2.62B
188,PENN,"PENN Entertainment, Inc.",3.21B,2.62%,3727912,6.30B
189,PATK,"Patrick Industries, Inc.",3.18B,-0.27%,336565,3.72B
190,RSI,"Rush Street Interactive, Inc.",3.18B,-2.02%,2985508,863.77M
191,PTVE,Pactiv Evergreen Inc.,3.18B,0.08%,316949,5.20B
192,MHO,"M/I Homes, Inc.",3.16B,-3.30%,332848,4.50B
193,UAA,"Under Armour, Inc.",3.14B,-4.08%,13379018,5.32B
194,DOOO,BRP Inc.,3.12B,-1.79%,283228,6.28B
195,YETI,"YETI Holdings, Inc.",3.08B,-2.38%,1466103,1.80B
196,UA,"Under Armour, Inc.",3.01B,-4.55%,7063720,5.32B
197,AEO,"American Eagle Outfitters, Inc.",3.00B,-3.11%,3751402,5.40B
198,VAC,Marriott Vacations Worldwide Corporation,2.98B,-2.11%,312996,3.19B
199,WEN,The Wendy's Company,2.94B,-3.35%,5643502,2.21B
200,GEF.B,"Greif, Inc.",2.92B,-1.07%,9800,5.45B
201,PRKS,United Parks & Resorts Inc.,2.91B,-0.99%,753791,1.73B
202,GEF,"Greif, Inc.",2.88B,-1.40%,62056,5.45B
203,AAP,"Advance Auto Parts, Inc.",2.73B,-5.90%,1604608,11.19B
204,CAKE,The Cheesecake Factory Incorporated,2.72B,-4.41%,1253555,3.54B
205,SHOO,"Steven Madden, Ltd.",2.68B,-1.09%,930654,2.22B
206,HBI,Hanesbrands Inc.,2.66B,-5.76%,3562205,5.47B
207,DRVN,Driven Brands Holdings Inc.,2.64B,-2.13%,662835,2.33B
208,GRBK,"Green Brick Partners, Inc.",2.58B,-3.24%,254464,1.98B
209,LCII,LCI Industries,2.57B,-0.37%,244623,3.78B
210,CPRI,Capri Holdings Limited,2.56B,1.59%,3231304,4.63B
211,TRIP,"Tripadvisor, Inc.",2.55B,4.69%,2692848,1.81B
212,QS,QuantumScape Corporation,2.53B,-1.40%,12395931,-
213,VSCO,Victoria's Secret & Co.,2.53B,-4.52%,2054200,6.21B
214,MCW,"Mister Car Wash, Inc.",2.53B,-1.26%,1064078,973.70M
215,AIN,Albany International Corp.,2.51B,-0.56%,100751,1.27B
216,SAH,"Sonic Automotive, Inc.",2.49B,-2.68%,193339,13.91B
217,PII,Polaris Inc.,2.48B,-2.16%,1272927,7.27B
218,GT,The Goodyear Tire & Rubber Company,2.39B,-3.23%,5461512,19.05B
219,MLCO,Melco Resorts & Entertainment Limited,2.32B,3.37%,4074211,4.54B
220,DAN,Dana Incorporated,2.31B,-0.56%,1275864,10.44B
221,PSNY,Polestar Automotive Holding UK PLC,2.30B,0.95%,3284561,2.05B
222,SIG,Signet Jewelers Limited,2.30B,-3.45%,1415823,6.85B
223,CWH,"Camping World Holdings, Inc.",2.26B,0.67%,692889,6.00B
224,OSW,OneSpaWorld Holdings Limited,2.26B,-0.64%,412022,872.62M
225,VC,Visteon Corporation,2.23B,-0.60%,336860,3.92B
226,ZGN,Ermenegildo Zegna N.V.,2.21B,-2.40%,207374,2.10B
227,KAR,"OPENLANE, Inc.",2.21B,-0.82%,319793,1.69B
228,BKE,"The Buckle, Inc.",2.19B,-2.16%,366166,1.22B
229,HSAI,Hesai Group,2.14B,-0.65%,3496441,273.52M
230,MBC,"MasterBrand, Inc.",2.12B,-3.08%,571608,2.71B
231,PHIN,PHINIA Inc.,2.10B,-0.85%,250341,3.45B
232,RVLV,"Revolve Group, Inc.",2.07B,-4.75%,845496,1.09B
233,GTX,Garrett Motion Inc.,2.03B,-0.63%,563687,3.58B
234,DFH,"Dream Finders Homes, Inc.",1.98B,-5.79%,301725,4.03B
235,LGIH,"LGI Homes, Inc.",1.94B,-3.49%,228748,2.25B
236,LZB,La-Z-Boy Incorporated,1.86B,-4.71%,545463,2.07B
237,CRI,"Carter's, Inc.",1.82B,-0.10%,963068,2.84B
238,LOT,Lotus Technology Inc.,1.78B,-1.13%,131964,1.01B
239,OI,"O-I Glass, Inc.",1.78B,-0.52%,1282313,6.53B
240,MSGE,Madison Square Garden Entertainment Corp.,1.76B,2.74%,463353,960.52M
241,SVV,"Savers Value Village, Inc.",1.75B,-1.17%,585647,1.52B
242,ARHS,"Arhaus, Inc.",1.71B,-6.09%,1506480,1.27B
243,FL,"Foot Locker, Inc.",1.71B,-4.59%,3964555,8.12B
244,WWW,"Wolverine World Wide, Inc.",1.68B,-2.70%,933475,1.79B
245,HDL,Super Hi International Holding Ltd.,1.67B,0.90%,5553,759.89M
246,ARCO,Arcos Dorados Holdings Inc.,1.66B,-0.88%,1307787,4.50B
247,DESP,"Despegar.com, Corp.",1.60B,-0.10%,1711761,756.30M
248,MCRI,"Monarch Casino & Resort, Inc.",1.58B,-1.00%,97982,515.86M
249,PLYA,Playa Hotels & Resorts N.V.,1.57B,-1.00%,794637,949.67M
250,SHCO,Soho House & Co Inc.,1.51B,0.13%,414679,1.20B
251,AMBP,Ardagh Metal Packaging S.A.,1.50B,-2.29%,1292005,4.85B
252,MLKN,"MillerKnoll, Inc.",1.48B,-0.96%,472700,3.59B
253,ADNT,Adient plc,1.42B,1.75%,1477118,14.52B
254,MODG,Topgolf Callaway Brands Corp.,1.39B,-2.63%,1694021,4.21B
255,KSS,Kohl's Corporation,1.34B,-4.78%,8670331,16.78B
256,LEG,"Leggett & Platt, Incorporated",1.34B,-1.29%,1635022,4.44B
257,WINA,Winmark Corporation,1.33B,-1.19%,18644,81.78M
258,GIII,"G-III Apparel Group, Ltd.",1.30B,-0.24%,399984,3.11B
259,SCS,Steelcase Inc.,1.29B,-1.90%,391017,3.15B
260,CBRL,"Cracker Barrel Old Country Store, Inc.",1.28B,-4.13%,863945,3.49B
261,FWRG,"First Watch Restaurant Group, Inc.",1.27B,-1.82%,469641,997.25M
262,WGO,"Winnebago Industries, Inc.",1.25B,-3.14%,616906,2.84B
263,PZZA,"Papa John's International, Inc.",1.24B,-2.20%,1087068,2.10B
264,CNNE,"Cannae Holdings, Inc.",1.21B,-2.71%,314324,461.90M
265,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,1.18B,-2.72%,481199,1.17B
266,EVRI,Everi Holdings Inc.,1.18B,-0.22%,173558,760.42M
267,XPEL,"XPEL, Inc.",1.16B,-2.26%,139356,418.41M
268,AMWD,American Woodmark Corporation,1.15B,-1.68%,118317,1.79B
269,OXM,"Oxford Industries, Inc.",1.14B,-1.69%,373880,1.53B
270,THRM,Gentherm Incorporated,1.14B,-1.26%,138288,1.47B
271,CARS,Cars.com Inc.,1.12B,-1.60%,215570,718.33M
272,PTLO,Portillo's Inc.,1.08B,-0.75%,1282746,713.80M
273,FOXF,Fox Factory Holding Corp.,1.08B,-1.83%,755417,1.37B
274,BLMN,"Bloomin' Brands, Inc.",1.03B,-2.25%,1500356,4.55B
275,LQDT,"Liquidity Services, Inc.",1.02B,-1.24%,474594,414.32M
276,SBH,"Sally Beauty Holdings, Inc.",1.00B,-6.33%,2912110,3.72B
277,TRS,TriMas Corporation,963.98M,-1.45%,291060,906.52M
278,OLPX,"Olaplex Holdings, Inc.",961.24M,-6.53%,1371964,433.65M
279,ACEL,"Accel Entertainment, Inc.",956.01M,-3.09%,282675,1.21B
280,EVGO,"EVgo, Inc.",937.79M,-7.19%,5699563,239.31M
281,GOOS,Canada Goose Holdings Inc.,924.20M,-2.14%,1589552,917.09M
282,REAL,"The RealReal, Inc.",918.12M,-2.81%,2928734,579.86M
283,EYE,"National Vision Holdings, Inc.",911.92M,-0.86%,941064,2.18B
284,FIGS,"FIGS, Inc.",903.39M,-2.39%,1009957,548.64M
285,WOOF,"Petco Health and Wellness Company, Inc.",895.89M,-1.82%,2251588,6.24B
286,GDEN,"Golden Entertainment, Inc.",888.70M,-0.83%,116424,733.31M
287,KRUS,"Kura Sushi USA, Inc.",883.24M,1.53%,182798,250.84M
288,UXIN,Uxin Limited,881.46M,8.06%,146302,232.10M
289,MYTE,MYT Netherlands Parent B.V.,852.66M,4.48%,214426,953.70M
290,XPOF,"Xponential Fitness, Inc.",838.06M,-1.31%,232235,326.72M
291,BJRI,"BJ's Restaurants, Inc.",822.54M,-1.90%,301836,1.34B
292,MSC,Studio City International Holdings Limited,808.87M,6.62%,10357,627.53M
293,HOV,"Hovnanian Enterprises, Inc.",773.40M,-4.83%,59401,3.00B
294,ARKO,Arko Corp.,765.25M,-4.06%,220149,8.97B
295,JACK,Jack in the Box Inc.,764.22M,-4.81%,435123,1.57B
296,MBUU,"Malibu Boats, Inc.",761.95M,-2.75%,106024,733.99M
297,FNKO,"Funko, Inc.",756.02M,-1.06%,441738,1.05B
298,ETD,Ethan Allen Interiors Inc.,749.17M,-2.51%,221860,626.65M
299,MLR,"Miller Industries, Inc.",744.70M,-0.64%,64535,1.33B
300,BH,Biglari Holdings Inc.,715.84M,-0.91%,2951,361.66M
301,RERE,ATRenew Inc.,702.35M,7.47%,1549845,2.19B
302,SCVL,"Shoe Carnival, Inc.",699.48M,-3.09%,349297,1.22B
303,HZO,"MarineMax, Inc.",681.90M,-1.25%,210476,2.37B
304,LIND,"Lindblad Expeditions Holdings, Inc.",677.91M,-2.58%,159597,621.48M
305,CURV,Torrid Holdings Inc.,671.49M,0.63%,163485,1.12B
306,BZH,"Beazer Homes USA, Inc.",669.91M,-3.72%,630528,2.41B
307,SMP,"Standard Motor Products, Inc.",669.03M,-1.03%,66463,1.41B
308,LEGH,Legacy Housing Corporation,643.58M,1.06%,73625,163.72M
309,GES,"Guess?, Inc.",635.49M,1.65%,855888,2.95B
310,PACK,Ranpak Holdings Corp.,628.67M,-2.96%,280066,354.30M
311,SFIX,"Stitch Fix, Inc.",624.07M,2.93%,2024542,1.29B
312,CSV,"Carriage Services, Inc.",624.00M,-1.30%,116987,405.33M
313,ODP,The ODP Corporation,619.23M,-5.51%,311248,7.18B
314,KRT,Karat Packaging Inc.,596.12M,-1.81%,26776,416.57M
315,ECX,ECARX Holdings Inc.,593.61M,4.17%,524776,778.61M
316,AXL,"American Axle & Manufacturing Holdings, Inc.",592.61M,-1.95%,927443,6.21B
317,PLOW,"Douglas Dynamics, Inc.",592.36M,0.27%,425365,559.20M
318,ZKH,ZKH Group Limited,583.21M,-1.35%,24034,1.26B
319,GAMB,Gambling.com Group Limited,567.58M,0.50%,971394,124.40M
320,MNRO,"Monro, Inc.",566.64M,-4.20%,927307,1.21B
321,CAL,"Caleres, Inc.",560.93M,-3.25%,630105,2.78B
322,LVWR,"LiveWire Group, Inc.",540.65M,-7.32%,20784,26.63M
323,FLWS,"1-800-FLOWERS.COM, Inc.",511.99M,0.25%,677370,1.76B
324,CANG,Cango Inc.,506.17M,0.19%,398334,38.02M
325,BBW,"Build-A-Bear Workshop, Inc.",497.46M,-3.27%,187171,495.24M
326,AGS,"PlayAGS, Inc.",493.99M,-0.08%,200133,386.03M
327,JMIA,Jumia Technologies AG,488.63M,-0.74%,3745376,181.20M
328,DADA,Dada Nexus Limited,475.44M,0.55%,2504640,1.42B
329,SDA,SunCar Technology Group Inc.,467.93M,-7.43%,2654398,425.99M
330,RICK,"RCI Hospitality Holdings, Inc.",462.53M,-2.33%,57062,295.60M
331,SES,SES AI Corporation,454.34M,-6.11%,16348095,-
332,GCO,Genesco Inc.,453.65M,-1.17%,143828,2.32B
333,DOGZ,Dogness (International) Corporation,449.65M,1.32%,28885,14.85M
334,MYE,"Myers Industries, Inc.",449.35M,-1.71%,153579,823.48M
335,MOV,"Movado Group, Inc.",428.06M,1.08%,146940,658.33M
336,CYD,China Yuchai International Limited,421.10M,2.85%,51706,2.64B
337,DIN,"Dine Brands Global, Inc.",420.50M,-5.29%,540076,813.84M
338,BWMX,"Betterware de México, S.A.P.I. de C.V.",407.45M,-0.55%,22456,700.82M
339,CRMT,"America's Car-Mart, Inc.",406.36M,-0.73%,47233,1.36B
340,BYON,"Beyond, Inc.",401.82M,-1.79%,2887140,1.48B
341,JILL,"J.Jill, Inc.",388.88M,-1.40%,70777,614.92M
342,PBPB,Potbelly Corporation,380.50M,-3.18%,278317,471.72M
343,JAKK,"JAKKS Pacific, Inc.",363.78M,0.49%,169377,687.70M
344,DENN,Denny's Corporation,361.36M,6.34%,1633369,453.01M
345,LOCO,"El Pollo Loco Holdings, Inc.",360.77M,-1.71%,113317,470.97M
346,CHPT,"ChargePoint Holdings, Inc.",360.11M,-11.48%,48908911,431.03M
347,SNBR,Sleep Number Corporation,355.25M,-6.72%,400881,1.73B
348,HVT,"Haverty Furniture Companies, Inc.",354.74M,-1.91%,86035,749.29M
349,HVT.A,"Haverty Furniture Companies, Inc.",353.67M,-10.78%,1702,749.29M
350,HYLN,Hyliion Holdings Corp.,349.21M,-4.74%,1478189,-
351,LE,"Lands' End, Inc.",347.96M,-2.68%,76109,1.44B
352,NATH,"Nathan's Famous, Inc.",344.95M,-0.89%,6117,146.39M
353,LOVE,The Lovesac Company,344.15M,-3.86%,392039,689.65M
354,MPX,Marine Products Corporation,334.98M,2.12%,77137,236.56M
355,HLLY,Holley Inc.,332.37M,-5.72%,214249,617.88M
356,WEYS,"Weyco Group, Inc.",331.60M,-2.99%,5870,290.41M
357,MCFT,"MasterCraft Boat Holdings, Inc.",330.86M,-7.93%,115644,311.26M
358,TTSH,"Tile Shop Holdings, Inc.",330.03M,1.36%,48747,352.08M
359,BNED,"Barnes & Noble Education, Inc.",326.91M,-2.52%,288192,1.56B
360,CVEO,Civeo Corporation,326.42M,2.73%,735050,701.97M
