,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,FIX,"Comfort Systems USA, Inc.",14.34B,-7.02%,315460,6.52B
87,RKLB,"Rocket Lab USA, Inc.",14.17B,0.46%,8476153,363.82M
88,UHAL,U-Haul Holding Company,14.06B,-0.98%,8875,5.69B
89,ACM,AECOM,13.89B,-1.02%,219341,16.22B
90,ESLT,Elbit Systems Ltd.,13.52B,-0.75%,13997,6.52B
91,TXT,Textron Inc.,13.38B,-1.00%,307252,13.70B
92,CW,Curtiss-Wright Corporation,13.18B,-0.68%,50327,3.08B
93,SWK,"Stanley Black & Decker, Inc.",13.06B,-2.96%,554457,15.37B
94,SAIA,"Saia, Inc.",12.83B,-1.12%,46975,3.21B
95,UHAL.B,U-Haul Holding Company,12.78B,-0.93%,25687,5.69B
96,POOL,Pool Corporation,12.66B,-0.87%,107470,5.33B
97,CLH,"Clean Harbors, Inc.",12.55B,-0.55%,47860,5.80B
98,RTO,Rentokil Initial plc,12.53B,1.32%,146811,6.84B
99,FTAI,FTAI Aviation Ltd.,12.36B,0.84%,602564,1.55B
100,NDSN,Nordson Corporation,12.28B,-0.73%,50848,2.69B
101,ITT,ITT Inc.,11.84B,-0.48%,111079,3.63B
102,CHRW,"C.H. Robinson Worldwide, Inc.",11.66B,-0.28%,280224,17.72B
103,WWD,"Woodward, Inc.",11.41B,-0.53%,2707,3.31B
104,ALLE,Allegion plc,11.35B,-0.66%,202315,3.72B
105,RBC,RBC Bearings Incorporated,11.33B,-0.92%,42962,1.61B
106,NVT,nVent Electric plc,11.12B,-1.52%,1057197,3.01B
107,ULS,UL Solutions Inc.,11.08B,1.17%,60501,2.82B
108,TFII,TFI International Inc.,10.99B,0.78%,55502,8.29B
109,CNM,"Core & Main, Inc.",10.84B,-0.51%,308679,7.18B
110,LECO,"Lincoln Electric Holdings, Inc.",10.83B,-1.01%,71813,4.05B
111,AAL,American Airlines Group Inc.,10.81B,0.21%,10143361,54.21B
112,MTZ,"MasTec, Inc.",10.69B,-2.29%,204415,12.18B
113,APG,APi Group Corporation,10.45B,-1.93%,112702,6.92B
114,BWXT,"BWX Technologies, Inc.",10.18B,-0.38%,267227,2.68B
115,AIT,"Applied Industrial Technologies, Inc.",10.00B,-0.76%,3234,4.48B
116,ARMK,Aramark,9.94B,0.11%,439837,17.55B
117,AYI,"Acuity Brands, Inc.",9.87B,-0.65%,35499,3.86B
118,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",9.84B,0.81%,25348,1.29B
119,CR,Crane Company,9.78B,-1.03%,40520,2.13B
120,LTM,LATAM Airlines Group S.A.,9.64B,1.00%,66272,12.83B
121,WMS,"Advanced Drainage Systems, Inc.",9.64B,-2.19%,145731,2.94B
122,AOS,A. O. Smith Corporation,9.47B,-1.15%,229552,3.82B
123,BLD,TopBuild Corp.,9.44B,-2.08%,53669,5.30B
124,CRS,Carpenter Technology Corporation,9.35B,-0.04%,226561,2.88B
125,WCC,"WESCO International, Inc.",9.28B,0.56%,362466,21.79B
126,SARO,"StandardAero, Inc.",9.28B,-0.51%,209440,4.99B
127,ALK,"Alaska Air Group, Inc.",9.16B,1.69%,780661,11.74B
128,RRX,Regal Rexnord Corporation,9.09B,-1.39%,319773,6.03B
129,MLI,"Mueller Industries, Inc.",9.07B,-2.00%,395049,3.77B
130,GNRC,Generac Holdings Inc.,9.04B,6.61%,1149241,4.30B
131,DRS,"Leonardo DRS, Inc.",9.03B,-0.84%,103694,3.18B
132,AAON,"AAON, Inc.",9.03B,-2.32%,95298,1.21B
133,MIDD,The Middleby Corporation,8.85B,-1.08%,313657,3.87B
134,STN,Stantec Inc.,8.80B,-0.28%,50550,4.17B
135,ATI,ATI Inc.,8.74B,-0.94%,426445,4.36B
136,KNX,Knight-Swift Transportation Holdings Inc.,8.74B,-1.40%,560900,7.41B
137,TTEK,"Tetra Tech, Inc.",8.61B,-0.19%,1057390,4.50B
138,FBIN,"Fortune Brands Innovations, Inc.",8.54B,-0.75%,760577,4.61B
139,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.37B,0.08%,13492,1.49B
140,DCI,"Donaldson Company, Inc.",8.36B,-1.36%,91212,3.64B
141,FLS,Flowserve Corporation,8.17B,-0.80%,163299,4.54B
142,FLR,Fluor Corporation,8.12B,-1.32%,916675,15.88B
143,GTLS,"Chart Industries, Inc.",8.06B,-1.15%,262177,4.07B
144,TTC,The Toro Company,7.98B,-0.72%,400618,4.58B
145,DLB,"Dolby Laboratories, Inc.",7.97B,-1.01%,76005,1.32B
146,LPX,Louisiana-Pacific Corporation,7.77B,-2.54%,120142,2.92B
147,ERJ,Embraer S.A.,7.66B,-0.78%,277400,5.77B
148,CAE,CAE Inc.,7.57B,-1.41%,83575,3.28B
149,ESAB,ESAB Corporation,7.48B,0.16%,44495,2.76B
150,BECN,"Beacon Roofing Supply, Inc.",7.33B,-0.37%,139624,9.66B
151,WTS,"Watts Water Technologies, Inc.",7.33B,-2.37%,95348,2.25B
152,KBR,"KBR, Inc.",7.27B,-0.84%,130222,7.35B
153,TREX,"Trex Company, Inc.",7.21B,-2.81%,292466,1.18B
154,AGCO,AGCO Corporation,7.17B,-1.34%,445229,11.66B
155,OSK,Oshkosh Corporation,7.13B,-1.46%,164322,10.76B
156,LOAR,Loar Holdings Inc.,7.07B,-0.67%,67895,378.81M
157,AZEK,The AZEK Company Inc.,7.04B,-2.54%,259723,1.49B
158,SPXC,"SPX Technologies, Inc.",7.01B,-2.18%,40652,1.92B
159,R,"Ryder System, Inc.",6.93B,3.50%,201055,12.47B
160,WSC,WillScot Holdings Corporation,6.86B,-1.50%,463699,2.41B
161,CWST,"Casella Waste Systems, Inc.",6.85B,0.49%,86895,1.49B
162,FCN,"FTI Consulting, Inc.",6.85B,0.30%,20865,3.73B
163,SMR,NuScale Power Corporation,6.78B,2.63%,5741928,7.38M
164,ADT,ADT Inc.,6.64B,-0.87%,1917196,5.14B
165,VMI,"Valmont Industries, Inc.",6.55B,0.49%,35654,4.05B
166,JBTM,JBT Marel Corporation,6.54B,-1.04%,48780,1.69B
167,AWI,"Armstrong World Industries, Inc.",6.53B,-2.45%,111647,1.39B
